Pred. Values,New Pred. Values,Actual Values
31.8,31.42,38
15.13,16.58,14
31.9,31.76,27
13.79,12.99,7
34.48,33.98,37
29.63,29.25,33
43.62,42.88,35
23.66,24.0,18
33.57,31.82,27
31.35,31.63,22
38.5,38.29,39
32.46,30.91,24
32.64,33.33,37
21.85,23.07,24
13.63,13.1,7
38.56,37.23,43
36.59,36.66,37
28.15,28.54,29
35.49,35.73,35
16.31,17.88,19
17.36,17.71,4
36.81,36.8,35
33.14,32.06,26
12.6,12.12,16
32.61,33.93,35
33.42,33.54,35
32.23,30.38,22
20.07,19.93,25
14.47,13.57,13
29.66,27.42,28
35.28,34.44,25
26.5,26.16,21
15.82,14.49,15
19.98,20.13,25
26.39,27.18,30
12.49,13.0,14
31.49,31.85,27
34.16,35.52,39
30.1,29.0,24
36.09,36.93,40
21.49,21.82,22
